bit,codigo,equipo,orden_album,slot,jugador_tipo,tier,pagina
91,CZE12,Chequia,4,12,Tomas Soucek,base,14-15
92,CZE13,Chequia,4,13,Foto equipo,base,14-15
93,CZE14,Chequia,4,14,Pavel Sulc,base,14-15
94,CZE15,Chequia,4,15,Matej Vydra,base,14-15
95,CZE16,Chequia,4,16,Vasil Kusej,base,14-15
96,CZE17,Chequia,4,17,Tomas Chory,base,14-15
97,CZE18,Chequia,4,18,Vaclav Cerny,base,14-15
98,CZE19,Chequia,4,19,Adam Hlozek,base,14-15
99,CZE20,Chequia,4,20,Patrik Schick,base,14-15
100,CAN1,Canada,5,1,Escudo (foil),T2,16-17
101,CAN2,Canada,5,2,Dayne St. Clair,base,16-17
102,CAN3,Canada,5,3,Alphonso Davies,base,16-17
103,CAN4,Canada,5,4,Alistair Johnston,base,16-17
104,CAN5,Canada,5,5,Samuel Adekugbe,base,16-17
105,CAN6,Canada,5,6,Richie Laryea,base,16-17
106,CAN7,Canada,5,7,Derek Cornelius,base,16-17
107,CAN8,Canada,5,8,Moïse Bombito,base,16-17
108,CAN9,Canada,5,9,Kamal Miller,base,16-17
109,CAN10,Canada,5,10,Stephen Eustáquio,base,16-17
110,CAN11,Canada,5,11,Ismaël Koné,base,16-17
111,CAN12,Canada,5,12,Jonathan Osorio,base,16-17
112,CAN13,Canada,5,13,Foto equipo,base,16-17
113,CAN14,Canada,5,14,Jacob Shaffelburg,base,16-17
114,CAN15,Canada,5,15,Mathieu Choinière,base,16-17
115,CAN16,Canada,5,16,Niko Sigur,base,16-17
116,CAN17,Canada,5,17,Tajon Buchanan,base,16-17
117,CAN18,Canada,5,18,Liam Millar,base,16-17
118,CAN19,Canada,5,19,Cyle Larin,base,16-17
119,CAN20,Canada,5,20,Jonathan David,base,16-17
120,BIH1,Bosnia y Herzegovina,6,1,Escudo (foil),T2,18-19
121,BIH2,Bosnia y Herzegovina,6,2,Nikola Vasilj,base,18-19
122,BIH3,Bosnia y Herzegovina,6,3,Amer Dedić,base,18-19
123,BIH4,Bosnia y Herzegovina,6,4,Sead Kolašinac,base,18-19
124,BIH5,Bosnia y Herzegovina,6,5,Tarik Muharemović,base,18-19
125,BIH6,Bosnia y Herzegovina,6,6,Nihad Mujakić,base,18-19
126,BIH7,Bosnia y Herzegovina,6,7,Nikola Katić,base,18-19
127,BIH8,Bosnia y Herzegovina,6,8,Amir Hadžiahmetović,base,18-19
128,BIH9,Bosnia y Herzegovina,6,9,Benjamin Tahirović,base,18-19
129,BIH10,Bosnia y Herzegovina,6,10,Armin Gigović,base,18-19
130,BIH11,Bosnia y Herzegovina,6,11,Ivan Šunjić,base,18-19
131,BIH12,Bosnia y Herzegovina,6,12,Ivan Bašić,base,18-19
132,BIH13,Bosnia y Herzegovina,6,13,Foto equipo,base,18-19
133,BIH14,Bosnia y Herzegovina,6,14,Dženis Burnić,base,18-19
134,BIH15,Bosnia y Herzegovina,6,15,Esmir Bajraktarević,base,18-19
135,BIH16,Bosnia y Herzegovina,6,16,Amar Memić,base,18-19
136,BIH17,Bosnia y Herzegovina,6,17,Ermedin Demirović,base,18-19
137,BIH18,Bosnia y Herzegovina,6,18,Edin Džeko,base,18-19
138,BIH19,Bosnia y Herzegovina,6,19,Samed Baždar,base,18-19
139,BIH20,Bosnia y Herzegovina,6,20,Haris Tabaković,base,18-19
140,QAT1,Catar,7,1,Escudo (foil),T2,20-21
141,QAT2,Catar,7,2,Meshaal Barsham,base,20-21
142,QAT3,Catar,7,3,Sultan Albrake,base,20-21
143,QAT4,Catar,7,4,Lucas Mendes,base,20-21
144,QAT5,Catar,7,5,Homam Ahmed,base,20-21
145,QAT6,Catar,7,6,Boualem Khoukhi,base,20-21
146,QAT7,Catar,7,7,Pedro Miguel,base,20-21
147,QAT8,Catar,7,8,Tarek Salman,base,20-21
148,QAT9,Catar,7,9,Mohamed Al-Mannai,base,20-21
149,QAT10,Catar,7,10,Karim Boudiaf,base,20-21
150,QAT11,Catar,7,11,Assim Madibo,base,20-21
151,QAT12,Catar,7,12,Ahmed Fatehi,base,20-21
152,QAT13,Catar,7,13,Foto equipo,base,20-21
153,QAT14,Catar,7,14,Mohammed Waad,base,20-21
154,QAT15,Catar,7,15,Abdulaziz Hatem,base,20-21
155,QAT16,Catar,7,16,Hassan Al-Haydos,base,20-21
156,QAT17,Catar,7,17,Edmilson Junior,base,20-21
157,QAT18,Catar,7,18,Akram Hassan Afif,base,20-21
158,QAT19,Catar,7,19,Ahmed Al Ganehi,base,20-21
159,QAT20,Catar,7,20,Almoez Ali,base,20-21
160,SUI1,Suiza,8,1,Escudo (foil),T2,22-23
161,SUI2,Suiza,8,2,Gregor Kobel,base,22-23
162,SUI3,Suiza,8,3,Yvon Mvogo,base,22-23
163,SUI4,Suiza,8,4,Manuel Akanji,base,22-23
164,SUI5,Suiza,8,5,Ricardo Rodríguez,base,22-23
165,SUI6,Suiza,8,6,Nico Elvedi,base,22-23
166,SUI7,Suiza,8,7,Aurèle Amenda,base,22-23
167,SUI8,Suiza,8,8,Silvan Widmer,base,22-23
168,SUI9,Suiza,8,9,Granit Xhaka,base,22-23
169,SUI10,Suiza,8,10,Denis Zakaria,base,22-23
170,SUI11,Suiza,8,11,Remo Freuler,base,22-23
171,SUI12,Suiza,8,12,Fabian Rieder,base,22-23
172,SUI13,Suiza,8,13,Foto equipo,base,22-23
173,SUI14,Suiza,8,14,Ardon Jashari,base,22-23
174,SUI15,Suiza,8,15,Johan Manzambi,base,22-23
175,SUI16,Suiza,8,16,Michel Aebischer,base,22-23
176,SUI17,Suiza,8,17,Breel Embolo,base,22-23
177,SUI18,Suiza,8,18,Rubén Vargas,base,22-23
178,SUI19,Suiza,8,19,Dan Ndoye,base,22-23
179,SUI20,Suiza,8,20,Zeki Amdouni,base,22-23
180,BRA1,Brasil,9,1,Escudo (foil),T2,24-25
181,BRA2,Brasil,9,2,Alisson,base,24-25
182,BRA3,Brasil,9,3,Bento,base,24-25
183,BRA4,Brasil,9,4,Marquinhos,base,24-25
184,BRA5,Brasil,9,5,Éder Militão,base,24-25
185,BRA6,Brasil,9,6,Gabriel Magalhães,base,24-25
186,BRA7,Brasil,9,7,Danilo,base,24-25
187,BRA8,Brasil,9,8,Wesley,base,24-25
188,BRA9,Brasil,9,9,Lucas Paquetá,base,24-25
189,BRA10,Brasil,9,10,Casemiro,base,24-25
190,BRA11,Brasil,9,11,Bruno Guimarães,base,24-25
191,BRA12,Brasil,9,12,Luiz Henrique,base,24-25
192,BRA13,Brasil,9,13,Foto equipo,base,24-25
193,BRA14,Brasil,9,14,Vinicius Júnior,T3,24-25
194,BRA15,Brasil,9,15,Rodrygo,base,24-25
195,BRA16,Brasil,9,16,João Pedro,base,24-25
196,BRA17,Brasil,9,17,Matheus Cunha,base,24-25
197,BRA18,Brasil,9,18,Gabriel Martinelli,base,24-25
198,BRA19,Brasil,9,19,Raphinha,base,24-25
199,BRA20,Brasil,9,20,Estêvão,base,24-25
200,MAR1,Marruecos,10,1,Escudo (foil),T2,26-27
201,MAR2,Marruecos,10,2,Yassine Bounou,base,26-27
202,MAR3,Marruecos,10,3,Munir El Kajoui,base,26-27
203,MAR4,Marruecos,10,4,Achraf Hakimi,base,26-27
204,MAR5,Marruecos,10,5,Noussair Mazraoui,base,26-27
205,MAR6,Marruecos,10,6,Nayef Aguerd,base,26-27
206,MAR7,Marruecos,10,7,Romain Saïss,base,26-27
207,MAR8,Marruecos,10,8,Jawad El Yamiq,base,26-27
208,MAR9,Marruecos,10,9,Adam Masina,base,26-27
209,MAR10,Marruecos,10,10,Sofyan Amrabat,base,26-27
210,MAR11,Marruecos,10,11,Azzedine Ounahi,base,26-27
211,MAR12,Marruecos,10,12,Eliesse Ben Seghir,base,26-27
212,MAR13,Marruecos,10,13,Foto equipo,base,26-27
213,MAR14,Marruecos,10,14,Bilal El Khannouss,base,26-27
214,MAR15,Marruecos,10,15,Ismael Saibari,base,26-27
215,MAR16,Marruecos,10,16,Youssef En-Nesyri,base,26-27
216,MAR17,Marruecos,10,17,Abde Ezzalzouli,base,26-27
217,MAR18,Marruecos,10,18,Soufiane Rahimi,base,26-27
218,MAR19,Marruecos,10,19,Brahim Díaz,base,26-27
219,MAR20,Marruecos,10,20,Ayoub El Kaabi,base,26-27
220,HAI1,Haiti,11,1,Escudo (foil),T2,28-29
221,HAI2,Haiti,11,2,Johny Placide,base,28-29
222,HAI3,Haiti,11,3,Carlens Arcus,base,28-29
223,HAI4,Haiti,11,4,Martin Experience,base,28-29
224,HAI5,Haiti,11,5,Jean-Kévin Duverne,base,28-29
225,HAI6,Haiti,11,6,Ricardo Adé,base,28-29
226,HAI7,Haiti,11,7,Duke Lacroix,base,28-29
227,HAI8,Haiti,11,8,Garven Metusala,base,28-29
228,HAI9,Haiti,11,9,Hannes Delcroix,base,28-29
229,HAI10,Haiti,11,10,Leverton Pierre,base,28-29
230,HAI11,Haiti,11,11,Danley Jean Jacques,base,28-29
231,HAI12,Haiti,11,12,Jean-Ricner Bellegarde,base,28-29
232,HAI13,Haiti,11,13,Foto equipo,base,28-29
233,HAI14,Haiti,11,14,Christopher Attys,base,28-29
234,HAI15,Haiti,11,15,Derrick Etienne Jr,base,28-29
235,HAI16,Haiti,11,16,Josué Casimir,base,28-29
236,HAI17,Haiti,11,17,Ruben Providence,base,28-29
237,HAI18,Haiti,11,18,Duckens Nazon,base,28-29
238,HAI19,Haiti,11,19,Louicius Deedson,base,28-29
239,HAI20,Haiti,11,20,Frantzdy Pierrot,base,28-29
240,SCO1,Escocia,12,1,Escudo (foil),T2,30-31
241,SCO2,Escocia,12,2,Angus Gunn,base,30-31
242,SCO3,Escocia,12,3,Jack Hendry,base,30-31
243,SCO4,Escocia,12,4,Kieran Tierney,base,30-31
244,SCO5,Escocia,12,5,Aaron Hickey,base,30-31
245,SCO6,Escocia,12,6,Andrew Robertson,base,30-31
246,SCO7,Escocia,12,7,Scott McKenna,base,30-31
247,SCO8,Escocia,12,8,John Souttar,base,30-31
248,SCO9,Escocia,12,9,Anthony Ralston,base,30-31
249,SCO10,Escocia,12,10,Grant Hanley,base,30-31
250,SCO11,Escocia,12,11,Scott McTominay,base,30-31
251,SCO12,Escocia,12,12,Billy Gilmour,base,30-31
252,SCO13,Escocia,12,13,Foto equipo,base,30-31
253,SCO14,Escocia,12,14,Lewis Ferguson,base,30-31
254,SCO15,Escocia,12,15,Ryan Christie,base,30-31
255,SCO16,Escocia,12,16,Kenny McLean,base,30-31
256,SCO17,Escocia,12,17,John McGinn,base,30-31
257,SCO18,Escocia,12,18,Lyndon Dykes,base,30-31
258,SCO19,Escocia,12,19,Che Adams,base,30-31
259,SCO20,Escocia,12,20,Ben Gannon-Doak,base,30-31
260,USA1,Estados Unidos,13,1,Escudo (foil),T2,32-33
261,USA2,Estados Unidos,13,2,Matt Freese,base,32-33
262,USA3,Estados Unidos,13,3,Chris Richards,base,32-33
